date,open,high,low,close,volume
2020-09-18 11:55:00,7.899,8.22,7.508,7.741,43267.9234
2020-09-18 12:00:00,7.741,8.276,7.609,8.223,64010.0907
2020-09-18 12:05:00,8.223,8.634,8.067,8.283,29449.5443
2020-09-18 12:10:00,8.283,8.635,8.277,8.386,26367.5442
2020-09-18 12:15:00,8.386,8.472,6.88,7.46,110392.3243
2020-09-18 12:20:00,7.46,7.531,6.615,7.186,64051.8103
2020-09-18 12:25:00,7.186,7.233,6.971,7.176,7379.5291
2020-09-18 12:30:00,7.176,7.595,7.176,7.295,44725.3142
2020-09-18 12:35:00,7.295,7.418,6.85,7.002,31487.1464
2020-09-18 12:40:00,7.002,7.158,6.834,6.834,43892.2833
2020-09-18 12:45:00,6.834,7.02,6.834,6.866,13560.574
2020-09-18 12:50:00,6.866,6.883,6.475,6.579,26213.862
2020-09-18 12:55:00,6.579,7.103,6.573,6.702,69370.5959
2020-09-18 13:00:00,6.702,7.081,6.702,6.975,39122.5489
2020-09-18 13:05:00,6.976,6.976,6.84,6.951,20943.0036
2020-09-18 13:10:00,6.951,7.064,6.949,6.974,7862.3157
2020-09-18 13:15:00,6.974,7.005,6.814,6.859,57143.6112
2020-09-18 13:20:00,6.859,6.859,6.684,6.704,11354.9951
2020-09-18 13:25:00,6.704,6.879,6.662,6.814,11733.4684
2020-09-18 13:30:00,6.814,6.933,6.814,6.891,4040.2928
2020-09-18 13:35:00,6.891,6.9,6.724,6.805,915.1325
2020-09-18 13:40:00,6.805,6.822,6.6,6.642,3759.7921
2020-09-18 13:45:00,6.642,6.642,6.505,6.623,5113.2187
2020-09-18 13:50:00,6.623,6.625,6.272,6.283,25645.3252
2020-09-18 13:55:00,6.283,6.403,6.247,6.392,18497.0491
2020-09-18 14:00:00,6.392,6.5,6.276,6.277,4276.1877
2020-09-18 14:05:00,6.277,6.277,6.005,6.1,5202.8445
2020-09-18 14:10:00,6.1,6.208,6.069,6.17,5662.5889
2020-09-18 14:15:00,6.17,6.387,6.17,6.298,9543.8072
2020-09-18 14:20:00,6.313,6.492,6.24,6.445,6908.0125
2020-09-18 14:25:00,6.445,6.592,6.349,6.556,3561.9324
2020-09-18 14:30:00,6.556,6.778,6.512,6.735,78740.9884
2020-09-18 14:35:00,6.735,6.831,6.612,6.831,7083.1484
2020-09-18 14:40:00,6.831,6.997,6.816,6.876,6708.6776
2020-09-18 14:45:00,6.876,6.96,6.763,6.763,12934.9651
2020-09-18 14:50:00,6.763,6.813,6.621,6.682,2992.0913
2020-09-18 14:55:00,6.682,6.899,6.682,6.821,1171.95
2020-09-18 15:00:00,6.821,6.821,6.683,6.719,0.0
2020-09-18 15:05:00,6.719,6.75,6.589,6.646,2285.8032
2020-09-18 15:10:00,6.646,6.77,6.603,6.753,2093.5454
2020-09-18 15:15:00,6.731,6.914,6.731,6.76,7345.8905
2020-09-18 15:20:00,6.76,6.849,6.76,6.831,7189.4184
2020-09-18 15:25:00,6.831,7.139,6.831,7.139,13992.3432
2020-09-18 15:30:00,7.139,7.245,7.101,7.193,12289.9178
2020-09-18 15:35:00,7.193,7.345,7.067,7.345,16253.2022
2020-09-18 15:40:00,7.345,7.463,7.288,7.451,62974.8166
2020-09-18 15:45:00,7.451,7.453,7.291,7.338,4684.2732
2020-09-18 15:50:00,7.338,7.34,7.111,7.204,9573.2883
2020-09-18 15:55:00,7.204,7.36,7.195,7.345,1002.8758
2020-09-18 16:00:00,7.345,7.364,7.139,7.204,10751.2604
2020-09-18 16:05:00,7.204,7.264,7.046,7.236,1916.8486
2020-09-18 16:10:00,7.236,7.282,7.148,7.202,8379.358
2020-09-18 16:15:00,7.202,7.375,7.202,7.365,7500.541
2020-09-18 16:20:00,7.365,7.4,7.291,7.393,4645.0932
2020-09-18 16:25:00,7.393,7.463,7.291,7.291,13062.9239
2020-09-18 16:30:00,7.291,7.326,7.25,7.316,1715.479
2020-09-18 16:35:00,7.316,7.436,7.316,7.432,6654.317
2020-09-18 16:40:00,7.432,7.7,7.411,7.644,30740.8989
2020-09-18 16:45:00,7.644,7.666,7.546,7.548,870.0915
2020-09-18 16:50:00,7.548,7.625,7.477,7.617,1669.8531
2020-09-18 16:55:00,7.617,7.752,7.617,7.752,5467.5774
2020-09-18 17:00:00,7.752,7.752,7.175,7.378,72082.8014
2020-09-18 17:05:00,7.378,7.388,7.041,7.14,27793.5
2020-09-18 17:10:00,7.14,7.163,6.808,6.971,11285.1353
2020-09-18 17:15:00,6.971,7.148,6.911,7.121,15680.7585
2020-09-18 17:20:00,7.121,7.121,6.876,6.881,12334.3283
2020-09-18 17:25:00,6.882,6.963,6.654,6.765,9478.6299
2020-09-18 17:30:00,6.765,6.925,6.761,6.843,12592.1378
2020-09-18 17:35:00,6.843,7.102,6.835,7.102,20959.9751
2020-09-18 17:40:00,7.102,7.102,6.972,7.018,41614.617
2020-09-18 17:45:00,7.018,7.15,7.016,7.092,17692.7385
2020-09-18 17:50:00,7.092,7.131,6.97,7.001,379.7724
2020-09-18 17:55:00,7.001,7.017,6.327,6.941,51870.5938
2020-09-18 18:00:00,6.941,7.105,6.94,7.102,5151.5908
2020-09-18 18:05:00,7.102,7.299,7.102,7.256,314.6048
2020-09-18 18:10:00,7.256,7.591,7.256,7.338,35438.387
2020-09-18 18:15:00,7.338,7.341,7.22,7.302,2878.4906
2020-09-18 18:20:00,7.302,7.302,7.243,7.3,1034.4798
2020-09-18 18:25:00,7.3,7.5,7.264,7.436,4871.6412
2020-09-18 18:30:00,7.436,7.477,7.265,7.265,2300.2741
2020-09-18 18:35:00,7.265,7.388,7.252,7.298,231.74
2020-09-18 18:40:00,7.298,7.298,7.053,7.159,18006.1903
2020-09-18 18:45:00,7.159,7.159,6.968,7.037,5816.8809
2020-09-18 18:50:00,7.037,7.161,6.996,7.001,334.6152
2020-09-18 18:55:00,7.001,7.162,7.0,7.127,2130.8222
2020-09-18 19:00:00,7.126,7.213,7.084,7.213,48.9634
2020-09-18 19:05:00,7.213,7.307,7.203,7.241,1579.1008
2020-09-18 19:10:00,7.239,7.263,7.078,7.096,1096.1604
2020-09-18 19:15:00,7.096,7.096,7.0,7.046,192.6314
2020-09-18 19:20:00,7.046,7.046,6.821,6.886,2258.3065
2020-09-18 19:25:00,6.886,6.999,6.877,6.996,47.9109
2020-09-18 19:30:00,6.996,6.996,6.747,6.75,2079.069
2020-09-18 19:35:00,6.75,6.84,6.508,6.578,9287.9646
2020-09-18 19:40:00,6.58,6.713,6.539,6.632,927.4651
2020-09-18 19:45:00,6.632,6.681,6.494,6.582,19231.7584
2020-09-18 19:50:00,6.581,6.591,6.346,6.468,4844.7458
2020-09-18 19:55:00,6.468,6.584,6.428,6.577,124.9938
2020-09-18 20:00:00,6.577,6.725,6.573,6.673,10634.6089
2020-09-18 20:05:00,6.673,6.774,6.607,6.607,3976.5336
2020-09-18 20:10:00,6.607,6.69,6.551,6.685,2246.4704
2020-09-18 20:15:00,6.685,6.795,6.685,6.748,766.0785
2020-09-18 20:20:00,6.748,6.762,6.697,6.755,589.6426
2020-09-18 20:25:00,6.755,6.755,6.632,6.694,1453.8695
2020-09-18 20:30:00,6.694,6.694,6.544,6.551,1088.0298
2020-09-18 20:35:00,6.551,6.624,6.532,6.603,177.074
2020-09-18 20:40:00,6.603,6.661,6.588,6.591,39.669
2020-09-18 20:45:00,6.591,6.591,6.469,6.476,367.5299
2020-09-18 20:50:00,6.476,6.476,6.255,6.346,33874.6557
2020-09-18 20:55:00,6.346,6.386,6.266,6.386,5963.7479
2020-09-18 21:00:00,6.386,6.511,6.386,6.505,2018.2008
2020-09-18 21:05:00,6.505,6.583,6.457,6.463,1772.4304
2020-09-18 21:10:00,6.463,6.558,6.459,6.558,689.183
2020-09-18 21:15:00,6.558,6.569,6.48,6.483,41.1648
2020-09-18 21:20:00,6.483,6.503,6.387,6.4,1291.8462
2020-09-18 21:25:00,6.4,6.441,6.325,6.43,3263.0382
2020-09-18 21:30:00,6.43,6.438,6.342,6.346,571.7524
2020-09-18 21:35:00,6.346,6.623,6.202,6.223,20819.2517
2020-09-18 21:40:00,6.223,6.314,6.183,6.223,467.3502
2020-09-18 21:45:00,6.223,6.346,6.223,6.306,2323.9826
2020-09-18 21:50:00,6.306,6.306,6.142,6.142,3634.2747
2020-09-18 21:55:00,6.142,6.192,6.142,6.183,30.915
2020-09-18 22:00:00,6.183,6.306,6.183,6.306,697.7098
2020-09-18 22:05:00,6.306,6.387,6.264,6.265,1314.6647
2020-09-18 22:10:00,6.265,6.39,6.246,6.39,2283.2738
2020-09-18 22:15:00,6.39,6.579,6.387,6.569,16275.199
2020-09-18 22:20:00,6.569,6.631,6.543,6.598,388.754
2020-09-18 22:25:00,6.598,6.651,6.576,6.591,119.4416
2020-09-18 22:30:00,6.591,6.723,6.591,6.72,2089.3405
2020-09-18 22:35:00,6.72,6.764,6.677,6.686,1179.63
2020-09-18 22:40:00,6.686,6.686,6.581,6.591,827.2592
2020-09-18 22:45:00,6.591,6.635,6.51,6.521,2949.027
2020-09-18 22:50:00,6.521,6.6,6.521,6.58,11608.399
2020-09-18 22:55:00,6.58,6.688,6.568,6.657,217.0022
2020-09-18 23:00:00,6.657,6.698,6.6,6.698,10088.8464
2020-09-18 23:05:00,6.698,6.769,6.644,6.644,1161.8959
2020-09-18 23:10:00,6.644,6.686,6.571,6.571,101.3126
2020-09-18 23:15:00,6.571,6.736,6.571,6.73,3530.25
2020-09-18 23:20:00,6.73,6.73,6.668,6.712,49.5378
2020-09-18 23:25:00,6.712,6.875,6.672,6.84,1899.3334
2020-09-18 23:30:00,6.84,7.017,6.804,6.983,2526.8772
2020-09-18 23:35:00,6.983,7.088,6.928,7.053,672.2566
2020-09-18 23:40:00,7.052,7.088,6.982,7.0,2267.5171
2020-09-18 23:45:00,7.0,7.004,6.911,6.946,254.0701
2020-09-18 23:50:00,6.946,6.948,6.733,6.786,410.9444
2020-09-18 23:55:00,6.786,6.828,6.751,6.823,708.5252
2020-09-19 00:00:00,6.823,6.848,6.662,6.662,275.7357
2020-09-19 00:05:00,6.662,6.673,6.609,6.662,1814.3193
2020-09-19 00:10:00,6.662,6.713,6.63,6.705,726.6108
2020-09-19 00:15:00,6.705,6.715,6.52,6.55,3535.0092
2020-09-19 00:20:00,6.55,6.573,6.488,6.556,54445.5886
2020-09-19 00:25:00,6.556,6.573,6.417,6.474,4004.7299
2020-09-19 00:30:00,6.474,6.485,6.383,6.472,5630.1907
2020-09-19 00:35:00,6.472,6.515,6.428,6.449,4484.7522
2020-09-19 00:40:00,6.449,6.54,6.378,6.518,779.8459
2020-09-19 00:45:00,6.518,6.528,6.449,6.449,528.6591
2020-09-19 00:50:00,6.449,6.638,6.449,6.567,2808.9454
2020-09-19 00:55:00,6.567,6.635,6.561,6.562,692.0294
2020-09-19 01:00:00,6.562,6.609,6.502,6.538,1475.6703
2020-09-19 01:05:00,6.538,6.538,6.447,6.513,111.5539
2020-09-19 01:10:00,6.513,6.608,6.512,6.573,3934.2704
2020-09-19 01:15:00,6.573,6.635,6.515,6.605,1551.3893
2020-09-19 01:20:00,6.605,6.619,6.52,6.52,59.7471
2020-09-19 01:25:00,6.52,6.531,6.434,6.511,1801.1829
2020-09-19 01:30:00,6.511,6.537,6.46,6.46,34.3265
2020-09-19 01:35:00,6.46,6.46,6.396,6.406,72.5988
2020-09-19 01:40:00,6.406,6.46,6.387,6.424,15920.2816
2020-09-19 01:45:00,6.424,6.485,6.395,6.466,8593.1023
2020-09-19 01:50:00,6.466,6.485,6.41,6.41,27.0152
2020-09-19 01:55:00,6.41,6.41,6.263,6.325,22147.981
2020-09-19 02:00:00,6.325,6.415,6.307,6.307,4432.3716
2020-09-19 02:05:00,6.307,6.368,6.303,6.33,1492.5974
2020-09-19 02:10:00,6.33,6.355,6.281,6.283,679.7724
2020-09-19 02:15:00,6.283,6.325,6.272,6.298,1904.6882
2020-09-19 02:20:00,6.298,6.387,6.298,6.387,54.0497
2020-09-19 02:25:00,6.387,6.455,6.36,6.439,78.9878
2020-09-19 02:30:00,6.439,6.514,6.414,6.427,2710.3813
2020-09-19 02:35:00,6.427,6.547,6.427,6.536,741.9962
2020-09-19 02:40:00,6.536,6.6,6.536,6.595,4046.6043
2020-09-19 02:45:00,6.595,6.6,6.487,6.487,10446.4756
2020-09-19 02:50:00,6.487,6.52,6.477,6.485,5493.9724
2020-09-19 02:55:00,6.485,6.58,6.485,6.559,15787.3462
2020-09-19 03:00:00,6.559,6.673,6.556,6.609,6327.5994
2020-09-19 03:05:00,6.609,6.624,6.551,6.572,6642.681
2020-09-19 03:10:00,6.572,6.631,6.552,6.63,535.799
2020-09-19 03:15:00,6.63,6.632,6.572,6.573,2095.106
2020-09-19 03:20:00,6.573,6.655,6.573,6.651,7555.9194
2020-09-19 03:25:00,6.651,6.769,6.643,6.703,176648.919
2020-09-19 03:30:00,6.703,6.843,6.7,6.841,6585.8532
2020-09-19 03:35:00,6.841,6.9,6.786,6.9,2116.7114
2020-09-19 03:40:00,6.9,6.955,6.821,6.821,75505.5351
2020-09-19 03:45:00,6.821,6.821,6.706,6.769,11228.092
2020-09-19 03:50:00,6.769,6.778,6.655,6.751,8358.7905
2020-09-19 03:55:00,6.751,6.79,6.751,6.785,4.068
2020-09-19 04:00:00,6.785,6.785,6.622,6.635,1533.2363
2020-09-19 04:05:00,6.635,6.643,6.591,6.609,2090.1818
2020-09-19 04:10:00,6.609,6.652,6.573,6.627,597.8488
2020-09-19 04:15:00,6.627,6.641,6.52,6.535,1310.2334
2020-09-19 04:20:00,6.535,6.573,6.526,6.534,328.3576
2020-09-19 04:25:00,6.533,6.556,6.477,6.543,429.8448
2020-09-19 04:30:00,6.543,6.627,6.538,6.594,1270.9051
2020-09-19 04:35:00,6.594,6.598,6.52,6.52,1357.4918
2020-09-19 04:40:00,6.533,6.573,6.467,6.573,3805.9905
2020-09-19 04:45:00,6.573,6.691,6.573,6.677,1677.0077
2020-09-19 04:50:00,6.677,6.755,6.673,6.755,121.6286
2020-09-19 04:55:00,6.755,6.755,6.662,6.662,11222.411
2020-09-19 05:00:00,6.662,6.715,6.644,6.687,79.6252
2020-09-19 05:05:00,6.687,6.87,6.673,6.84,28207.6668
2020-09-19 05:10:00,6.84,6.928,6.81,6.913,29681.4379
2020-09-19 05:15:00,6.913,7.254,6.913,7.131,32832.1682
2020-09-19 05:20:00,7.131,7.337,7.131,7.23,24089.2471
2020-09-19 05:25:00,7.23,7.37,7.207,7.216,67852.4176
2020-09-19 05:30:00,7.216,7.348,7.131,7.159,12023.5819
2020-09-19 05:35:00,7.159,7.189,7.057,7.122,6472.6047
2020-09-19 05:40:00,7.122,7.273,7.122,7.273,3274.2048
2020-09-19 05:45:00,7.273,7.346,7.215,7.273,16325.5364
2020-09-19 05:50:00,7.273,7.31,7.168,7.23,9229.2354
2020-09-19 05:55:00,7.23,7.279,7.202,7.266,2136.424
2020-09-19 06:00:00,7.266,7.285,6.952,7.015,10543.8707
2020-09-19 06:05:00,7.016,7.067,6.857,6.959,11114.425
2020-09-19 06:10:00,6.959,7.032,6.928,6.964,2826.6532
2020-09-19 06:15:00,6.964,7.109,6.964,7.04,4052.6449
2020-09-19 06:20:00,7.04,7.155,7.017,7.15,5775.9778
2020-09-19 06:25:00,7.15,7.158,7.053,7.071,311.4
2020-09-19 06:30:00,7.071,7.213,7.071,7.213,967.2972
2020-09-19 06:35:00,7.213,7.222,7.159,7.159,179.1142
2020-09-19 06:40:00,7.159,7.171,7.081,7.108,2611.2342
2020-09-19 06:45:00,7.108,7.209,7.067,7.159,1734.8081
2020-09-19 06:50:00,7.159,7.203,7.122,7.203,612.5122
2020-09-19 06:55:00,7.203,7.203,7.159,7.159,308.197
2020-09-19 07:00:00,7.159,7.285,7.159,7.219,21801.0734
2020-09-19 07:05:00,7.219,7.408,7.219,7.402,22473.5748
2020-09-19 07:10:00,7.402,7.496,7.367,7.37,13686.7424
2020-09-19 07:15:00,7.37,7.43,7.255,7.3,9245.1842
2020-09-19 07:20:00,7.3,7.358,7.284,7.337,1188.8525
2020-09-19 07:25:00,7.337,7.39,7.326,7.326,1106.983
2020-09-19 07:30:00,7.326,7.372,7.286,7.372,137.3088
2020-09-19 07:35:00,7.372,7.437,7.34,7.39,5071.6902
2020-09-19 07:40:00,7.39,7.39,7.199,7.204,278.2472
2020-09-19 07:45:00,7.204,7.238,7.148,7.208,4786.06
2020-09-19 07:50:00,7.195,7.269,7.195,7.205,446.1082
2020-09-19 07:55:00,7.21,7.271,7.177,7.218,7121.4447
2020-09-19 08:00:00,7.218,7.219,7.046,7.1,8010.3365
2020-09-19 08:05:00,7.1,7.193,7.04,7.122,3555.4075
2020-09-19 08:10:00,7.122,7.13,7.035,7.035,84.9732
2020-09-19 08:15:00,7.035,7.047,6.946,7.031,5577.5194
2020-09-19 08:20:00,7.031,7.138,7.031,7.106,385.3032
2020-09-19 08:25:00,7.106,7.108,7.016,7.016,550.036
2020-09-19 08:30:00,7.016,7.102,7.016,7.071,960.5944
2020-09-19 08:35:00,7.071,7.158,7.032,7.135,262.5532
2020-09-19 08:40:00,7.135,7.147,7.104,7.109,62.5242
2020-09-19 08:45:00,7.109,7.112,7.014,7.084,383.4604
2020-09-19 08:50:00,7.084,7.097,6.964,7.0,398.0196
2020-09-19 08:55:00,7.0,7.005,6.718,6.818,10609.6538
2020-09-19 09:00:00,6.818,6.892,6.663,6.733,18544.6029
2020-09-19 09:05:00,6.733,6.769,6.623,6.627,740.4485
2020-09-19 09:10:00,6.627,6.787,6.609,6.769,8936.5141
